geoid,neighborhood_name,value,average_label,rank,variable,region_name,tract_name
42101036201,Torresdale North,46.13078758,Below Average,365,Ozone concentration,Far Northeast,Torresdale North 4
42101036202,Torresdale North,45.50395161,Below Average,358,Ozone concentration,Far Northeast,Torresdale North 5
42101036203,Torresdale North,45.31641304,Below Average,355,Ozone concentration,Far Northeast,Torresdale North 6
42101036301,Torresdale North,45.33856362,Below Average,356,Ozone concentration,Far Northeast,Torresdale North 7
42101036302,Torresdale North,45.68053037,Below Average,360,Ozone concentration,Far Northeast,Torresdale North 8
42101036303,Torresdale North,45.41812837,Below Average,357,Ozone concentration,Far Northeast,Torresdale North 9
42101036400,Torresdale North,46.0575819,Below Average,363,Ozone concentration,Far Northeast,Torresdale North 10
42101036501,Somerton,46.27165943,Below Average,368,Ozone concentration,Far Northeast,Somerton 6
42101036502,Somerton,46.27465829,Below Average,371,Ozone concentration,Far Northeast,Somerton 7
42101036600,Center City East,44.32732239,Below Average,332,Ozone concentration,Greater Center City,Center City East 11
42101036700,Northern Liberties-West Kensington,44.34606433,Below Average,333,Ozone concentration,Greater Center City,Northern Liberties-West Kensington 8
42101036900,University City,43.47263277,Below Average,288,Ozone concentration,Southwest,University City 12
42101037200,Snyder-Whitman,42.77114943,Average,228,Ozone concentration,South,Snyder-Whitman 5
42101037300,Grays Ferry-Passyunk,42.18391702,Average,172,Ozone concentration,South,Grays Ferry-Passyunk 4
42101037500,Overbrook Park-Wynnefield Heights,42.3486568,Average,213,Ozone concentration,West,Overbrook Park-Wynnefield Heights 11
42101037600,Northern Liberties-West Kensington,44.03042421,Below Average,319,Ozone concentration,Greater Center City,Northern Liberties-West Kensington 9
42101037700,Poplar-Temple,44.37445477,Below Average,335,Ozone concentration,Lower North,Poplar-Temple 8
42101037800,Richmond-Bridesburg,41.41690955,Average,131,Ozone concentration,East,Richmond-Bridesburg 5
42101037900,Richmond-Bridesburg,40.30757397,Above Average,71,Ozone concentration,East,Richmond-Bridesburg 6
42101038000,Frankford,36.81704029,Above Average,3,Ozone concentration,Lower Northeast (East),Frankford 7
42101038100,Wissinoming-Tacony,38.30060363,Above Average,38,Ozone concentration,Lower Northeast (East),Wissinoming-Tacony 7
42101038200,Juniata Park-Harrowgate,39.93805498,Above Average,66,Ozone concentration,East,Juniata Park-Harrowgate 5
42101038300,Hunting Park-Fairhill,40.63005745,Average,88,Ozone concentration,East,Hunting Park-Fairhill 11
42101038400,Roxborough-Manayunk,41.75655916,Average,144,Ozone concentration,Northwest,Roxborough-Manayunk 13
42101038500,Chestnut Hill-West Mt. Airy,40.96644744,Average,125,Ozone concentration,Northwest,Chestnut Hill-West Mt. Airy 7
42101038600,Chestnut Hill-West Mt. Airy,40.92008621,Average,121,Ozone concentration,Northwest,Chestnut Hill-West Mt. Airy 8
42101038700,Chestnut Hill-West Mt. Airy,41.08327255,Average,127,Ozone concentration,Northwest,Chestnut Hill-West Mt. Airy 9
42101038800,Chestnut Hill-West Mt. Airy,40.75759277,Average,106,Ozone concentration,Northwest,Chestnut Hill-West Mt. Airy 10
42101038900,East Mt. Airy,40.7576263,Average,115,Ozone concentration,Northwest,East Mt. Airy 6
42101039000,Lawndale-Crescentville,38.01907226,Above Average,32,Ozone concentration,Lower Northeast (West),Lawndale-Crescentville 7
