geoid,neighborhood_name,value,average_label,rank,variable,region_name,tract_name
42101029800,Wissinoming-Tacony,45.29947757138403,Average,230,Health and Wellness,Lower Northeast (East),Wissinoming-Tacony 1
42101029900,Frankford,42.19100086261927,Average,262,Health and Wellness,Lower Northeast (East),Frankford 3
42101030000,Frankford,41.337969088011974,Average,271,Health and Wellness,Lower Northeast (East),Frankford 4
42101030100,Frankford,45.71137662928203,Average,226,Health and Wellness,Lower Northeast (East),Frankford 5
42101030200,Frankford,56.78304156361101,Average,100,Health and Wellness,Lower Northeast (East),Frankford 6
42101030501,Lawndale-Crescentville,53.532845256923366,Average,133,Health and Wellness,Lower Northeast (West),Lawndale-Crescentville 3
42101030502,Lawndale-Crescentville,54.83410922711505,Average,120,Health and Wellness,Lower Northeast (West),Lawndale-Crescentville 4
42101030600,Lawndale-Crescentville,49.816943334447885,Average,173,Health and Wellness,Lower Northeast (West),Lawndale-Crescentville 5
42101030700,Lawndale-Crescentville,50.33107868661386,Average,166,Health and Wellness,Lower Northeast (West),Lawndale-Crescentville 6
42101030800,Oxford Circle,56.44547055107206,Average,103,Health and Wellness,Lower Northeast (West),Oxford Circle 1
42101030900,Oxford Circle,58.13096863385479,Above Average,90,Health and Wellness,Lower Northeast (West),Oxford Circle 2
42101031000,Oxford Circle,58.12756608856143,Above Average,91,Health and Wellness,Lower Northeast (West),Oxford Circle 3
42101031101,Oxford Circle,50.46235400474207,Average,165,Health and Wellness,Lower Northeast (West),Oxford Circle 4
42101031102,Oxford Circle,49.005855506239804,Average,182,Health and Wellness,Lower Northeast (West),Oxford Circle 5
42101031200,Oxford Circle,53.72185753515324,Average,131,Health and Wellness,Lower Northeast (West),Oxford Circle 6
42101031300,Oxford Circle,55.82536489108674,Average,109,Health and Wellness,Lower Northeast (West),Oxford Circle 7
42101031401,Oxford Circle,53.814221119299816,Average,129,Health and Wellness,Lower Northeast (West),Oxford Circle 8
42101031402,Oxford Circle,50.52693480796621,Average,164,Health and Wellness,Lower Northeast (West),Oxford Circle 9
42101031501,Mayfair-Holmesburg,55.410012873790535,Average,112,Health and Wellness,Lower Northeast (East),Mayfair-Holmesburg 1
42101031502,Mayfair-Holmesburg,44.831559526706315,Average,234,Health and Wellness,Lower Northeast (East),Mayfair-Holmesburg 2
42101031600,Mayfair-Holmesburg,48.674798768266115,Average,186,Health and Wellness,Lower Northeast (East),Mayfair-Holmesburg 3
42101031700,Mayfair-Holmesburg,51.816606105134184,Average,149,Health and Wellness,Lower Northeast (East),Mayfair-Holmesburg 4
42101031800,Mayfair-Holmesburg,52.811441722245085,Average,139,Health and Wellness,Lower Northeast (East),Mayfair-Holmesburg 5
42101031900,Wissinoming-Tacony,54.88397854680482,Average,119,Health and Wellness,Lower Northeast (East),Wissinoming-Tacony 2
42101032000,Wissinoming-Tacony,54.534764360701175,Average,124,Health and Wellness,Lower Northeast (East),Wissinoming-Tacony 3
42101032100,Wissinoming-Tacony,48.194495458198816,Average,192,Health and Wellness,Lower Northeast (East),Wissinoming-Tacony 4
42101032300,Wissinoming-Tacony,51.68855477789175,Average,150,Health and Wellness,Lower Northeast (East),Wissinoming-Tacony 5
42101032500,Wissinoming-Tacony,43.9687882436131,Average,247,Health and Wellness,Lower Northeast (East),Wissinoming-Tacony 6
42101032600,Mayfair-Holmesburg,52.40205756168709,Average,144,Health and Wellness,Lower Northeast (East),Mayfair-Holmesburg 6
